BINOMIAL,PHYLUM_NAM,CLASS_NAME,ORDER_NAME,FAMILY_NAM,GENUS_NAME,SPECIES_NA,CATEGORY
Acropora variolosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,variolosa,LC
Montipora cryptus,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,cryptus,NT
Acropora lamarcki,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,lamarcki,DD
Astreopora scabra,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Astreopora,scabra,LC
Montipora tuberculosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,tuberculosa,LC
Leptoseris cailleti,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,cailleti,LC
Montipora incrassata,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,incrassata,NT
Palauastrea ramosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,ASTROCOENIIDAE,Palauastrea,ramosa,NT
Acropora willisae,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,willisae,VU
Acropora walindii,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,walindii,VU
Coeloseris mayeri,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Coeloseris,mayeri,LC
Montipora danae,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,danae,LC
Acropora seriata,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,seriata,DD
Leptoseris explanata,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,explanata,LC
Isopora togianensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Isopora,togianensis,EN
Acropora pectinatus,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,pectinatus,DD
Stylocoeniella cocosensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ASTROCOENIIDAE,Stylocoeniella,cocosensis,VU
Acropora vaughani,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,vaughani,VU
Montipora caliculata,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,caliculata,VU
Montipora aequituberculata,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,aequituberculata,LC
Acropora nobilis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,nobilis,LC
Acropora plana,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,plana,DD
Montipora informis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,informis,LC
Montipora samarensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,samarensis,VU
Acropora hyacinthus,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,hyacinthus,NT
Acropora longicyathus,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,longicyathus,LC
Acropora pulchra,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,pulchra,LC
Acropora branchi,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,branchi,DD
Acropora florida,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,florida,NT
Leptoseris amitoriensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,amitoriensis,NT
Montipora stellata,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,stellata,LC
Acropora robusta,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,robusta,LC
Montipora hoffmeisteri,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,hoffmeisteri,LC
Acropora microphthalma,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,microphthalma,LC
Montipora peltiformis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,peltiformis,NT
Anacropora puertogalerae,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Anacropora,puertogalerae,VU
Montipora turgescens,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,turgescens,LC
Acropora pruinosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,pruinosa,DD
Montipora setosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,setosa,EN
Acropora rufus,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,rufus,DD
Acropora massawensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,massawensis,DD
Astreopora randalli,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Astreopora,randalli,LC
Acropora wallaceae,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,wallaceae,DD
Montipora delicatula,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,delicatula,VU
Pavona xarifae,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Pavona,xarifae,DD
Acropora tutuilensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,tutuilensis,DD
Montipora millepora,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,millepora,LC
